Player,Rings,Finals MVP,Reg SZN MVP,All-NBA(1),All-NBA(2),All-NBA(3),All-Def(1),All-Def(2),ASG,OTHER,MODIFIED APPROXIMATED VALUE
KAREEM ABDUL-JABBAR,6,2,6,10,5,0,5,6,19,9,306
RAY ALLEN,2,0,0,0,1,1,0,0,10,4,81
GIANNIS ANTETOKOUNMPO,1,1,2,3,2,0,3,1,6,5,108
CARMELO ANTHONY,0,0,0,0,2,4,0,0,10,3,85.5
NATE ARCHIBALD,1,0,0,3,2,0,0,0,6,3,67.5
PAUL ARIZIN,1,0,0,3,1,0,0,0,10,6,94.5
CHARLES BARKLEY,0,0,1,5,5,1,0,0,11,4,121.5
RICK BARRY,1,1,0,5,1,0,0,0,8,14,135
ELGIN BAYLOR,0,0,0,10,0,0,0,0,11,4,112.5
DAVE BING,0,0,0,2,1,0,0,0,7,4,63
LARRY BIRD,3,2,3,9,1,0,0,3,12,9,189
KOBE BRYANT,5,2,1,11,2,2,9,3,18,10,283.5
WILT CHAMBERLAIN,2,1,4,7,3,0,2,0,13,22,243
BOB COUSY,6,0,1,10,2,0,0,0,13,15,211.5
DAVE COWENS,2,0,1,0,3,0,1,2,8,4,94.5
BILLY CUNNINGHAM,1,0,0,3,1,0,0,0,4,9,81
STEPHEN CURRY,3,0,2,4,2,1,0,0,8,5,112.5
ANTHONY DAVIS,1,0,0,4,0,0,2,2,8,4,94.5
DAVE DEBUSSCHERE,2,0,0,0,1,0,6,0,8,1,81
CLYDE DREXLER,1,0,0,1,2,2,0,0,10,0,72
TIM DUNCAN,5,3,2,10,2,2,8,7,15,3,256.5
KEVIN DURANT,2,2,1,6,3,0,0,0,12,7,148.5
JULIUS ERVING,1,0,1,5,2,0,0,0,11,28,216
PATRICK EWING,0,0,0,1,6,0,0,3,11,7,126
WALT FRAZIER,2,0,0,4,2,0,7,0,7,3,112.5
KEVIN GARNETT,1,0,1,4,3,2,9,3,15,5,193.5
GEORGE GERVIN,0,0,0,5,2,0,0,0,9,5,94.5
HAL GREER,1,0,0,0,7,0,0,0,10,3,94.5
JAMES HARDEN,0,0,1,6,0,1,0,0,10,7,112.5
JOHN HAVLICEK,8,1,0,4,7,0,5,3,13,1,189
ELVIN HAYES,1,0,0,3,3,0,0,2,12,7,126
ALLEN IVERSON,0,0,1,3,3,1,0,0,11,10,130.5
LEBRON JAMES,4,4,4,13,3,1,5,1,18,8,274.5
MAGIC JOHNSON,5,3,3,9,1,0,0,0,12,13,207
SAM JONES,10,0,0,0,3,0,0,0,5,0,81
MICHAEL JORDAN,6,6,5,10,1,0,9,0,14,19,315
JASON KIDD,1,0,0,5,1,0,4,5,10,7,148.5
KAWHI LEONARD,2,2,0,3,2,0,3,4,5,5,117
DAMIAN LILLARD,0,0,0,1,4,1,0,0,6,2,63
JERRY LUCAS,1,0,0,3,2,0,0,0,7,2,67.5
KARL MALONE,0,0,2,11,2,1,3,1,14,5,175.5
MOSES MALONE,1,1,3,4,4,0,1,1,12,11,171
PETE MARAVICH,0,0,0,2,2,0,0,0,5,8,76.5
BOB MCADOO,2,0,1,1,1,0,0,0,5,6,72
KEVIN MCHALE,3,0,0,1,0,0,3,3,7,5,99
GEORGE MIKAN,5,0,0,0,0,0,0,0,4,5,63
REGGIE MILLER,0,0,0,0,0,3,0,0,5,2,45
EARL MONROE,1,0,0,1,0,0,0,0,4,6,54
STEVE NASH,0,0,2,3,2,2,0,0,8,13,135
DIRK NOWITZKI,1,1,1,4,5,3,0,0,14,5,153
SHAQUILLE O'NEAL,4,3,1,8,2,4,0,3,15,13,238.5
HAKEEM OLAJUWON,2,2,1,6,3,3,5,4,12,11,220.5
ROBERT PARISH,4,0,0,0,1,1,0,0,9,3,81
CHRIS PAUL,0,0,0,4,5,1,7,2,12,18,220.5
GARY PAYTON,1,0,0,2,5,2,9,0,9,4,144
BOB PETTIT,1,0,2,10,1,0,0,0,11,12,166.5
PAUL PIERCE,1,1,0,0,1,3,0,0,10,3,85.5
SCOTTIE PIPPEN,6,0,0,0,1,3,0,0,10,3,103.5
WILLIS REED,2,2,1,1,4,0,1,0,7,6,108
OSCAR ROBERTSON,1,0,1,9,2,0,0,0,12,12,166.5
DAVID ROBINSON,2,0,1,4,2,4,4,4,10,14,202.5
DENNIS RODMAN,5,0,0,0,0,2,7,1,2,19,162
BILL RUSSELL,11,0,5,3,8,0,1,0,12,13,238.5
DOLPH SCHAYES,1,0,0,6,6,0,0,0,12,5,135
BILL SHARMAN,4,0,0,4,3,0,0,0,8,5,108
JOHN STOCKTON,0,0,0,2,6,3,0,5,10,14,180
ISIAH THOMAS,2,1,0,3,2,0,0,0,12,7,121.5
NATE THURMOND,0,0,0,0,0,0,2,3,7,5,76.5
WES UNSELD,1,1,1,1,0,0,0,0,5,2,49.5
DWYANE WADE,3,1,0,2,3,3,0,3,13,4,144
BILL WALTON,2,0,1,1,1,0,2,0,2,6,67.5
JERRY WEST,1,1,0,10,2,0,4,2,14,7,184.5
RUSSELL WESTBROOK,0,0,1,2,5,0,0,0,9,8,112.5
LENNY WILKENS,0,0,0,0,0,0,0,0,9,5,63
DOMINIQUE WILKINS,0,0,0,1,4,2,0,0,9,3,85.5
JAMES WORTHY,3,1,0,0,0,2,0,0,7,4,76.5
